Frequency (Hz),Channel 1 (V),Phase (deg)
28.14392589953687,1.181904575732312e-05,-18.92990625467694
28.23298895618098,1.516850424527393e-05,165.7221845147209
28.32205201282508,1.869880865963063e-05,-9.021525791817611
28.41111506946918,1.825112795651338e-05,178.6078807623068
28.50017812611329,1.361505124255744e-05,20.48434682363078
28.58924118275739,1.19921680044184e-05,-125.0380726016161
28.67830423940149,9.89535939198328e-06,76.19907496866593
28.7673672960456,7.308318779889927e-06,-74.58893122189467
28.8564303526897,6.501118769168124e-06,134.7340180192333
28.94549340933381,4.039658800702994e-06,-23.05098588949608
29.03455646597791,3.380056055316756e-06,174.8627399134971
29.12361952262201,4.150051597382575e-06,-34.76788113834083
29.21268257926612,4.639581322528435e-06,110.1331007560781
29.30174563591023,4.034715320054126e-06,-86.11498213153426
29.39080869255433,3.659699654852737e-06,82.18850909965538
29.47987174919843,3.526677487985362e-06,-99.85880596823412
29.56893480584253,2.33900474046524e-06,128.5641814082408
29.65799786248664,4.74923050279685e-06,-0.915245158942567
29.74706091913075,4.275756207803567e-06,-160.4303971401134
29.83612397577485,3.959886576425819e-06,93.3905640237823
29.92518703241895,6.033102583740447e-06,-63.17640854013508
30.01425008906305,5.959783236494982e-06,128.7369089069485
30.10331314570716,5.328534915320958e-06,-53.60631485671954
30.19237620235127,3.241542840032362e-06,79.76925050471664
30.28143925899537,5.802521578800809e-06,175.7820703172787
30.37050231563947,1.009824896121524e-05,-13.42778570869958
30.45956537228357,1.074106379863061e-05,167.6328350786722
30.54862842892768,8.797715143499238e-06,-5.672364110072909
30.63769148557179,7.863614855491732e-06,-154.3045457132027
30.72675454221589,7.009837295130944e-06,60.82508881034548
30.81581759885999,7.450822375638644e-06,-79.11268508562421
30.9048806555041,9.085985574613416e-06,122.4629938355977
30.9939437121482,8.91555433221217e-06,-35.60035022637968
31.08300676879231,8.458961756419875e-06,152.5094017515931
31.17206982543641,8.014746650560163e-06,-22.13079698240522
31.26113288208051,5.63309702829697e-06,-173.5552777538823
31.35019593872462,3.989640108009899e-06,74.14176342681907
31.43925899536872,6.19292102001761e-06,-81.70136935090549
31.52832205201282,6.764508626226311e-06,88.97133910657669
31.61738510865693,5.403437963591156e-06,-126.3768442855476
31.70644816530103,7.612763748549892e-06,14.45843896762502
31.79551122194514,9.752686581462933e-06,170.726742989108
31.88457427858924,9.404780809654282e-06,-27.10590296876758
31.97363733523334,5.713704976621554e-06,151.130185902147
32.06270039187745,3.109022152206334e-06,-18.24408194932426
32.15176344852155,3.035761204771958e-06,-163.8220566816821
32.24082650516566,5.551060775516359e-06,53.03793753273821
32.32988956180976,7.860465510895394e-06,-112.0869599416869
32.41895261845386,7.831159010485426e-06,84.26872027214648
32.50801567509797,6.560758218233243e-06,-64.48050891505862
32.59707873174207,6.681954527756863e-06,165.0499269872186
32.68614178838617,8.227798280141526e-06,19.51596245232894
32.77520484503028,6.590901156514342e-06,-146.6273493033667
32.86426790167439,3.431697033333234e-06,60.88315838252966
32.95333095831849,4.775813243571763e-06,-51.20858576404905
33.04239401496259,9.28596089269561e-06,160.5662836400315
33.1314570716067,1.237885213836289e-05,-13.48262789814425
33.2205201282508,1.137298766687258e-05,157.5308289024011
33.3095831848949,8.953876626898542e-06,-25.03100126700948
33.39864624153901,6.631122574483796e-06,169.4902835543265
33.48770929818311,5.060853166958955e-06,17.04959126389238
33.57677235482722,5.072172725132413e-06,-159.1863207332485
33.66583541147132,5.274495381812392e-06,-2.412863503259918
33.75489846811543,4.773099164772835e-06,162.1234819785912
33.84396152475953,3.511149748338497e-06,-27.14816707011637
33.93302458140363,1.217124106678918e-06,135.4415203270639
34.02208763804774,1.822190492641284e-06,145.902242641861
34.11115069469184,5.120876675798747e-06,-33.3269329877759
34.20021375133595,7.262505245217859e-06,156.0691097350866
34.28927680798005,6.654414243728681e-06,-17.10289337449872
34.37833986462415,5.309698363434292e-06,150.0062932102479
34.46740292126826,5.244623576247698e-06,-85.79688814316592
34.55646597791236,7.242408137912555e-06,57.29527454208965
34.64552903455647,5.903342651622782e-06,-135.4323032895259
34.73459209120057,3.306911570848955e-06,46.44554826159543
34.82365514784467,1.314637691560862e-06,-5.211288495816661
34.91271820448878,7.429301466669222e-06,-142.9489612284638
35.00178126113288,1.197632981592536e-05,37.19780133245924
35.09084431777699,1.415369304048611e-05,-143.8730542798907
35.17990737442109,1.549659827804757e-05,47.0612090902919
35.26897043106519,1.534479730187222e-05,-115.6126649174046
35.3580334877093,1.34798373037392e-05,84.41488930735736
35.4470965443534,1.115068668112115e-05,-69.14468644931502
35.5361596009975,9.321121226174792e-06,134.8876758741923
35.62522265764161,6.279821434704133e-06,-46.45778287270262
35.71428571428571,3.213304300384247e-06,93.27122009006378
35.80334877092982,3.32002097745219e-06,-148.2803523859399
35.89241182757392,4.009530640931393e-06,13.28844389782593
35.98147488421802,2.018059326319921e-06,169.6034756975473
36.07053794086213,2.048795001920114e-06,-120.333425039373
36.15960099750623,3.759596651238515e-06,35.15397530868151
36.24866405415034,4.825878674326276e-06,-155.733239266819
36.33772711079444,5.855127957092091e-06,13.55434836801361
36.42679016743854,8.952818003063008e-06,175.3954188101701
36.51585322408265,1.192631738631318e-05,-8.99493125752789
36.60491628072675,1.02061416594735e-05,172.2923046033183
36.69397933737086,6.320296580815334e-06,-19.4882686116155
36.78304239401496,2.479421186285748e-06,108.7613057568958
36.87210545065906,4.982263043639754e-06,-154.0808689939544
36.96116850730317,6.991521801149976e-06,25.73020292644396
37.05023156394727,5.631989818009641e-06,-139.3617756436856
37.13929462059138,4.123361968613637e-06,78.41708668343456
37.22835767723548,2.702390984118655e-06,-53.5056086687968
37.31742073387958,2.17390243990705e-06,-152.4879188895145
37.40648379052369,1.174154360561648e-06,77.45778008380969
37.49554684716779,1.491106877361735e-06,-34.31697461358086
37.5846099038119,1.36446523217295e-06,160.4610644590527
37.673672960456,1.834862111350971e-06,70.67091983757331
37.7627360171001,1.746223249147741e-06,-43.48427393017708
37.85179907374421,2.612194870699316e-06,-177.6414090706729
37.94086213038831,2.50860113145736e-06,1.610959569604276
38.02992518703242,1.937063344125356e-06,-134.5506978265641
38.11898824367652,2.269933650265932e-06,98.25169621906068
38.20805130032063,2.29457794142903e-06,-96.97941036480242
38.29711435696473,1.992355020289794e-06,33.45729246137134
38.38617741360883,3.007734441706589e-06,150.9213231264504
38.47524047025294,6.514563539645058e-06,-42.88854778206053
38.56430352689704,7.813195970233725e-06,118.6075107856074
38.65336658354114,5.493492958115448e-06,-88.15546899395946
38.74242964018525,3.212576054727339e-06,67.20990088821915
38.83149269682935,3.616763503485189e-06,-156.5232797939839
38.92055575347347,5.93656778772399e-06,0.9056218172774511
39.00961881011757,5.755261282990538e-06,-173.6501055906342
39.09868186676167,4.780221237448759e-06,2.474098939646471
39.18774492340577,5.377308888832405e-06,146.7349686284696
