Frequency (Hz),Channel 1 Magnitude (V),Channel 2 Magnitude (V),Channel 2 Phase (deg)
31.1410558444676,0.9969575890412392,0.9765024884405393,-9.696323478470653
32.11194909364824,0.9968518353800004,0.9753592175272813,-9.98201611607567
33.11311214825911,0.9967290621578454,0.9741232650693824,-10.28053907546366
34.14548873833601,0.9966160599081964,0.9728837491372667,-10.58514245522709
35.21005201684519,0.9965079534047768,0.9715177103710488,-10.9013230292548
36.30780547701014,0.9963778766151362,0.9701484172340672,-11.2235488259887
37.4397838982381,0.9962564669241664,0.9686255378548555,-11.55463507246162
38.60705432153813,0.9961002161313008,0.9670750320153733,-11.89417549945659
39.81071705534973,0.9959528906206855,0.9654013777146766,-12.2441725820424
41.05190671273078,0.9958068482859992,0.9636717036911604,-12.60333663866184
42.33179328088209,0.9956607795475937,0.9618627276102706,-12.97163096045973
43.65158322401661,0.9954954811598837,0.9599732941708546,-13.34907992804078
45.01252062061337,0.9952955832668348,0.9580115371170516,-13.73777596365036
46.41588833612777,0.9951242228402895,0.9558923758369475,-14.13579459443253
47.86300923226385,0.9949240469371146,0.953711398998792,-14.54442196820008
49.35524741394806,0.9947015888678158,0.9514469761178348,-14.96323472902843
50.89400951518089,0.994491644762851,0.9490138854738498,-15.39280448334854
52.48074602497726,0.9942881498362575,0.9464549957236862,-15.83379943077534
54.11695265464638,0.9940039701629257,0.943851189471961,-16.28300105368735
55.80417174769964,0.9937587431068829,0.9410920001896399,-16.74630474847322
57.54399373371569,0.9935274306106168,0.9381425760326279,-17.21760453855059
59.33805862753281,0.9932178299543888,0.9351468443967795,-17.70258942832385
61.18805757518219,0.9929736788400477,0.9319688749840277,-18.19895378244335
63.09573444801933,0.9926738781812608,0.9287084017700766,-18.70488015277819
65.06288748655574,0.9923643842839069,0.9252360703606026,-19.22095929347762
67.09137099554111,0.9920366662437907,0.9215969579599224,-19.75183040184799
69.18309709189363,0.9917347399364581,0.9178177656573153,-20.29116978189663
71.34003750712564,0.9913695496194201,0.9138898491817574,-20.8441156600485
73.56422544596414,0.9909624155332902,0.9098175115240629,-21.40755897352798
75.85775750291836,0.9906222124083249,0.9055166927107355,-21.98312111661573
78.22279563860026,0.9902345191079294,0.9010843471090499,-22.56732502869203
80.66156921766135,0.9898639498199401,0.8963772621301939,-23.16578741534208
83.17637711026708,0.9894253025120523,0.8915853391004555,-23.77609777050131
85.76958985908942,0.9890177393202376,0.8865334823197623,-24.39630871122085
88.44365191385998,0.988535549811192,0.881373554955707,-25.02640199597808
91.20108393559097,0.9880917604725521,0.87598562271904,-25.6685733878285
94.04448517263518,0.9875902245228689,0.8703518136171791,-26.32182991154657
96.97653591082496,0.9871365443304785,0.8644900166405474,-26.98382199620016
100,0.9865929014301827,0.8585300349847105,-27.65794798464211
103.1177274593055,0.9860907294172492,0.8522785481843146,-28.34088010078538
106.3326571637161,0.9855571297561601,0.8458855921071741,-29.03248483868447
109.6478196143185,0.9850346639926985,0.8392470452825616,-29.73625250040763
113.0663397949639,0.9844348362009592,0.8324241081773731,-30.44670552497439
116.5914401179832,0.9838572404505969,0.8253697438057543,-31.16375256963752
120.2264434617413,0.9832665870788267,0.8180677120929299,-31.89031233096597
123.9747763028944,0.9827227750240046,0.8105599577544289,-32.62784430192813
127.8399719463024,0.9820422435210499,0.8029357230740248,-33.3710614829309
131.8256738556407,0.9814641733900958,0.7950713573695858,-34.12019931486735
135.9356390878526,0.9808554696850597,0.7869626335588377,-34.87635434156911
140.173741834677,0.9801960365836162,0.7786858190201553,-35.63576129622129
144.5439770745927,0.9795337979043389,0.770237540606723,-36.40305909904171
149.0504643386196,0.9789102723714077,0.7615886703810049,-37.17571635881993
153.6974515935272,0.9782715643006816,0.7527710186153173,-37.95296634338901
158.4893192461113,0.9776007969536832,0.7437584656980167,-38.73247330468479
163.4305842723138,0.9769296176036247,0.7345755742647121,-39.51776100837316
