Frequency (Hz),Trace th (deg),Trace Rs (Ohm),Trace Xs (Ohm),Trace Ls (H)
13984.16923154538,88.63191441109126,5.49327419976343,230.0160253904813,0.002617830693057227
14200.49023957108,88.65662752080885,5.476670720502569,233.541047708139,0.002617459786989239
14420.15751563303,88.6834788861858,5.448414032717398,237.0764773642252,0.002616607566347647
14643.22282312618,88.70741533367443,5.431387715005273,240.7136686988532,0.002616279947792829
14869.73872617303,88.72357240866124,5.446593394402308,244.4440938465374,0.002616353021510573
15099.75860201008,88.74548486571102,5.431413227735848,248.0219762858699,0.002614208912986349
15333.33665356592,88.72513702401233,5.605407750456037,251.8805621340404,0.002614436599034363
15570.5279222338,88.75048430353212,5.578336133162735,255.7506457994536,0.002614168233808222
15811.3883008419,88.77067517517563,5.572765513473297,259.6929145472736,0.002614027955656432
16055.97454682411,88.77925103478802,5.617234645986564,263.6046764500088,0.002612982921516724
